	T0A	T0B	T14A	T14B
ENSG00000041982	92749	49959	70605	65273
ENSG00000041988	633	377	879	845
ENSG00000042062	159	81	1718	1561
ENSG00000042088	750	493	424	389
ENSG00000042286	2220	1272	13788	12226
ENSG00000042304	0	0	0	0
ENSG00000042317	363	298	310	270
ENSG00000042429	1469	1013	1055	1082
ENSG00000042445	2749	1532	55133	51779
ENSG00000042493	2299	1134	642	549
ENSG00000042753	8286	4648	6394	5758
ENSG00000042781	6	4	0	3
ENSG00000042813	0	0	0	0
ENSG00000042832	17	11	223	167
ENSG00000042980	0	0	14	13
ENSG00000043039	0	1	0	0
ENSG00000043093	1285	1094	1528	1536
ENSG00000043143	676	421	2031	1904
ENSG00000043355	0	0	0	0
ENSG00000043462	0	1	8	6
ENSG00000043514	1310	923	1004	1043
ENSG00000043591	0	0	86	83
ENSG00000044012	0	0	0	0
ENSG00000044090	4956	2632	1808	1672
ENSG00000044115	27067	16112	21783	21419
ENSG00000044446	900	421	1189	1190
ENSG00000044459	789	644	336	328
ENSG00000044524	20	14	125	116
ENSG00000044574	74253	46648	30836	30635
ENSG00000046604	475	291	15	14
ENSG00000046647	829	492	552	561
ENSG00000046651	1051	763	902	941
ENSG00000046653	45	24	1636	1565
ENSG00000046774	0	0	0	0
ENSG00000046889	2	4	538	463
ENSG00000047056	1564	949	1132	1109
ENSG00000047188	1633	1126	1667	1636
ENSG00000047230	581	398	657	667
ENSG00000047249	2205	1473	2320	2150
ENSG00000047315	6773	4569	8468	8375
ENSG00000047346	994	770	3034	3256
ENSG00000047365	38	26	7	4
ENSG00000047410	7351	4860	7686	8014
ENSG00000047457	8	0	111	94
ENSG00000047578	1953	1137	980	856
ENSG00000047579	996	599	300	380
ENSG00000047597	0	1	4	0
ENSG00000047617	4	2	21	10
ENSG00000047621	1149	886	1358	1264
ENSG00000047634	758	686	1794	1686
ENSG00000047644	1775	1074	1095	952
ENSG00000047648	147	128	290	199
ENSG00000047662	7	7	8	14
ENSG00000047849	43714	24084	26069	25266
ENSG00000047932	2578	2377	2028	1931
ENSG00000047936	500	339	36	52
ENSG00000048028	2750	1803	1239	1332
ENSG00000048052	169	175	186	214
ENSG00000048140	3893	2278	1972	1756
ENSG00000048162	1045	713	1375	1162
ENSG00000048342	924	638	845	858
ENSG00000048392	1278	1170	5159	5089
ENSG00000048405	914	765	964	1147
ENSG00000048462	0	0	0	0
ENSG00000048471	3750	2273	2355	2172
ENSG00000048540	134	107	1611	1673
ENSG00000048544	2486	1813	2783	2741
ENSG00000048545	12	7	0	0
ENSG00000048649	2461	2000	2094	2213
ENSG00000048707	4725	3038	6218	6157
ENSG00000048740	1291	925	4965	5010
ENSG00000048828	11013	7210	8006	7418
ENSG00000048991	2746	1760	1872	1862
ENSG00000049089	9	1	34	32
ENSG00000049130	1895	1692	1338	1361
ENSG00000049167	598	459	901	1053
ENSG00000049192	2127	1354	76	64
ENSG00000049239	7158	4156	6359	6136
ENSG00000049245	6003	4732	8060	8236
ENSG00000049246	642	456	465	544
ENSG00000049247	0	0	0	0
ENSG00000049249	41	25	0	3
ENSG00000049283	0	4	4	2
ENSG00000049323	7525	4500	2284	2058
ENSG00000049449	23881	18688	12839	12895
ENSG00000049540	6042	2926	8242	6626
ENSG00000049541	506	390	571	605
ENSG00000049618	5542	3165	3175	2888
ENSG00000049656	4943	2906	5138	4439
ENSG00000049759	251	178	537	466
ENSG00000049768	7	7	16	10
ENSG00000049769	177	95	306	257
ENSG00000049860	3621	2752	3379	3603
ENSG00000049883	710	586	1239	1222
ENSG00000050030	2	4	0	0
ENSG00000050130	2168	1496	1658	1770
ENSG00000050165	5462	3100	3350	3205
ENSG00000050327	295	200	133	100
ENSG00000050344	80	74	144	140
ENSG00000050393	1793	1379	1800	1811
ENSG00000050405	38697	27366	19601	19510
ENSG00000050426	2345	1403	4719	4781
ENSG00000050438	78	41	27	31
ENSG00000050555	53	26	4	3
ENSG00000050628	99	79	6962	6925
ENSG00000050730	26	27	4	8
ENSG00000050748	2065	1362	2569	2707
ENSG00000050767	0	0	4	4
ENSG00000050820	2941	1301	1554	1122
ENSG00000051009	1198	662	1078	963
ENSG00000051108	13330	8415	3510	3420
ENSG00000051128	1390	691	391	326
ENSG00000051180	233	148	122	97
ENSG00000051341	83	64	65	86
ENSG00000051382	818	641	1127	1179
ENSG00000051523	823	305	245	199
ENSG00000051596	122	73	100	104
ENSG00000051620	4370	2924	16106	15920
ENSG00000051825	821	589	831	758
ENSG00000052126	1382	915	861	753
ENSG00000052344	0	0	0	3
ENSG00000052723	1671	1403	1913	1716
ENSG00000052749	1802	848	1148	1017
ENSG00000052795	1003	665	1576	1640
ENSG00000052802	5881	5450	9891	10267
ENSG00000052841	5444	3688	4277	4413
ENSG00000052850	6	2	8	0
ENSG00000053108	0	0	0	0
ENSG00000053254	4896	3631	10665	10275
ENSG00000053328	0	0	0	2
ENSG00000053371	2436	1466	2479	2286
ENSG00000053372	2482	1715	1825	1916
ENSG00000053438	25	13	712	600
ENSG00000053501	971	496	794	655
ENSG00000053524	3	2	5	7
ENSG00000053702	57	16	52	46
ENSG00000053747	8	5	693	656
ENSG00000053770	1324	1043	1870	1956
ENSG00000053900	1158	909	989	1033
ENSG00000053918	2	0	0	0
ENSG00000054116	3498	2202	3065	3113
ENSG00000054118	9093	5642	7796	7319
ENSG00000054148	3115	1464	2505	1944
ENSG00000054179	4	0	0	0
ENSG00000054219	0	2	2	2
ENSG00000054267	1811	1398	1721	1737
ENSG00000054277	245	178	247	249
ENSG00000054282	1301	867	957	1154
ENSG00000054356	6773	3228	22	31
ENSG00000054392	1098	698	191	193
ENSG00000054523	4491	3334	4949	5171
ENSG00000054598	723	486	378	305
ENSG00000054611	1367	835	1000	801
ENSG00000054654	464	404	2234	2260
ENSG00000054690	27	11	1395	1380
ENSG00000054793	4582	2846	10132	9741
ENSG00000054796	0	0	0	0
ENSG00000054803	0	0	0	0
ENSG00000054938	15	15	2	12
ENSG00000054965	6275	3714	3372	3289
ENSG00000054967	80	54	58	48
